iter	Passed	Remaining
399	27632	41448
400	27694	41368
401	27764	41300
402	27824	41218
403	27885	41138
404	27950	41062
405	28013	40985
406	28065	40892
407	28137	40826
408	28208	40760
409	28276	40690
410	28336	40608
411	28409	40545
412	28487	40488
413	28563	40430
414	28628	40356
415	28706	40299
416	28763	40214
417	28831	40143
418	28911	40089
419	28985	40028
420	29062	39969
421	29133	39903
422	29228	39869
423	29322	39833
424	29385	39756
425	29452	39684
426	29528	39625
427	29598	39557
428	29667	39487
429	29726	39405
430	29783	39319
431	29841	39236
432	29895	39146
433	29954	39064
434	30026	39000
435	30135	38982
436	30205	38914
437	30271	38842
438	30334	38764
439	30397	38687
440	30452	38601
441	30504	38509
442	30553	38416
443	30605	38325
444	30663	38243
445	30727	38168
446	30785	38085
447	30834	37991
448	30883	37899
449	30933	37807
450	30982	37714
451	31041	37634
452	31111	37566
453	31165	37480
454	31215	37389
455	31266	37300
456	31320	37215
457	31379	37134
458	31437	37053
459	31491	36968
460	31552	36891
461	31605	36804
462	31661	36722
463	31717	36639
464	31778	36561
465	31835	36481
466	31891	36399
467	31943	36312
468	31998	36228
469	32056	36149
470	32117	36072
471	32180	35998
472	32234	35914
473	32287	35829
474	32344	35749
475	32406	35674
476	32459	35589
477	32510	35503
478	32560	35416
479	32613	35331
480	32679	35261
481	32728	35172
482	32783	35091
483	32841	35013
484	32895	34930
485	32944	34842
486	32994	34756
487	33047	34672
488	33097	34586
489	33159	34513
490	33213	34431
491	33265	34347
492	33319	34265
493	33376	34187
494	33429	34104
495	33481	34021
496	33533	33938
497	33587	33856
498	33644	33779
499	33696	33696
500	33756	33622
501	33811	33542
502	33863	33460
503	33923	33385
504	33979	33306
505	34042	33235
506	34103	33161
507	34158	33082
508	34216	33006
509	34270	32926
510	34326	32848
511	34381	32769
512	34445	32699
513	34497	32618
514	34555	32542
515	34609	32463
516	34669	32389
517	34722	32309
518	34784	32237
519	34845	32165
520	34900	32087
521	34955	32008
522	35019	31938
523	35078	31864
524	35140	31793
525	35200	31720
526	35265	31651
527	35323	31577
528	35373	31494
529	35432	31420
530	35491	31347
531	35550	31273
532	35607	31198
533	35662	31121
534	35713	31040
535	35773	30968
536	35838	30900
537	35904	30832
538	35983	30776
539	36081	30736
540	36161	30680
541	36226	30612
542	36294	30545
543	36357	30476
544	36410	30397
545	36462	30318
546	36518	30242
547	36573	30166
548	36636	30096
549	36694	30023
550	36752	29948
551	36807	29873
552	36857	29792
553	36913	29717
554	36969	29642
555	37041	29579
556	37099	29506
557	37154	29430
558	37207	29353
559	37259	29275
560	37310	29196
561	37374	29127
562	37438	29059
563	37494	28985
564	37553	28912
565	37614	28842
566	37669	28767
567	37731	28697
568	37787	28622
569	37845	28550
570	37901	28475
571	37950	28396
572	38003	28320
573	38063	28248
574	38131	28184
575	38193	28114
576	38253	28043
577	38307	27968
578	38359	27891
579	38410	27814
580	38464	27739
581	38515	27662
582	38566	27585
583	38617	27508
584	38669	27432
585	38724	27357
586	38777	27282
587	38824	27203
588	38873	27125
589	38923	27048
590	38976	26973
591	39044	26908
592	39098	26835
593	39148	26757
594	39204	26685
595	39253	26607
596	39304	26532
597	39353	26455
598	39401	26377
599	39448	26299
600	39496	26221
601	39552	26149
602	39601	26072
603	39647	25994
604	39696	25917
605	39746	25841
606	39793	25764
607	39839	25685
608	39891	25611
609	39938	25534
610	39983	25456
611	40035	25381
612	40093	25312
613	40154	25243
614	40270	25209
615	40376	25170
616	40430	25096
617	40500	25034
618	40563	24967
619	40623	24898
620	40683	24829
621	40737	24757
622	40795	24686
623	40852	24616
624	40911	24546
625	40975	24480
626	41035	24412
627	41085	24337
628	41138	24264
629	41199	24196
630	41260	24128
631	41316	24057
632	41370	23985
633	41424	23914
634	41483	23844
635	41557	23784
636	41613	23714
637	41667	23642
638	41723	23571
639	41778	23500
640	41832	23428
641	41896	23363
642	41956	23294
643	42015	23226
644	42070	23154
645	42119	23081
646	42175	23010
647	42236	22943
648	42299	22876
649	42354	22806
650	42408	22734
651	42462	22664
652	42521	22595
653	42586	22530
654	42646	22462
655	42702	22392
656	42753	22320
657	42811	22251
658	42877	22186
659	42945	22123
660	43005	22055
661	43063	21987
662	43117	21916
663	43181	21850
664	43241	21783
665	43298	21714
666	43353	21644
667	43407	21573
668	43460	21502
669	43521	21436
670	43580	21368
671	43638	21299
672	43690	21228
673	43743	21157
674	43793	21085
675	43846	21015
676	43918	20953
677	43974	20884
678	44034	20817
679	44086	20746
680	44134	20673
681	44186	20603
682	44244	20535
683	44299	20465
684	44349	20394
685	44398	20322
686	44453	20253
687	44504	20182
688	44551	20109
689	44603	20039
690	44650	19966
691	44698	19894
692	44763	19830
693	44816	19760
694	44865	19689
695	44933	19626
696	44982	19554
697	45030	19482
698	45078	19411
699	45127	19340
700	45177	19269
701	45227	19198
702	45285	19131
703	45333	19060
704	45387	18991
705	45438	18921
706	45486	18850
707	45535	18780
708	45597	18714
709	45646	18644
710	45693	18572
711	45745	18503
712	45793	18433
713	45845	18363
714	45897	18294
715	45945	18224
716	45994	18154
717	46046	18085
718	46097	18015
719	46143	17944
720	46200	17877
721	46249	17808
722	46299	17738
723	46350	17669
724	46401	17600
725	46455	17532
726	46508	17464
727	46561	17396
728	46612	17327
729	46662	17258
730	46710	17189
731	46766	17122
732	46825	17056
733	46880	16989
734	46935	16922
735	46986	16853
736	47033	16784
737	47081	16714
738	47131	16645
739	47181	16577
740	47230	16508
741	47279	16439
742	47329	16371
743	47385	16304
744	47439	16237
745	47495	16171
746	47569	16111
747	47618	16042
748	47665	15973
749	47720	15906
750	47769	15838
751	47817	15769
752	47867	15701
753	47916	15633
754	48001	15576
755	48082	15518
756	48146	15455
757	48202	15389
758	48258	15323
759	48316	15257
760	48369	15191
761	48423	15124
762	48480	15058
763	48529	14990
764	48586	14925
765	48645	14860
766	48709	14797
767	48764	14730
768	48817	14664
769	48874	14598
770	48927	14532
771	48976	14464
772	49024	14396
773	49082	14331
774	49140	14266
775	49197	14201
776	49257	14136
777	49313	14071
778	49368	14005
779	49424	13940
780	49482	13875
781	49536	13809
782	49590	13743
783	49644	13677
784	49703	13612
785	49764	13549
786	49826	13485
787	49884	13420
788	49952	13358
789	50015	13295
790	50072	13230
791	50124	13163
792	50191	13101
793	50257	13039
794	50325	12976
795	50375	12910
796	50429	12844
797	50484	12779
798	50549	12716
799	50601	12650
800	50660	12586
801	50725	12523
802	50789	12460
803	50842	12394
804	50900	12330
805	50952	12263
806	51018	12201
807	51081	12138
808	51134	12072
809	51188	12007
810	51242	11941
811	51300	11877
812	51358	11813
813	51411	11747
814	51464	11682
815	51518	11616
816	51568	11550
817	51621	11485
818	51684	11422
819	51749	11359
820	51810	11296
821	51868	11231
