iter	RMSE
165	11610022.6
166	11601339.17
167	11599806.51
168	11597907.01
169	11589201.58
170	11580851.12
171	11572244.58
172	11562673.16
173	11550156.1
174	11530880.42
175	11530485.35
176	11528673.94
177	11522489.13
178	11517017.27
179	11512453.24
180	11506306.47
181	11502283.82
182	11489316.85
183	11484723.17
184	11480701.23
185	11475100.35
186	11469824.05
187	11461402.66
188	11458323.95
189	11456656.64
190	11452372.15
191	11447670.64
192	11437244.95
193	11432915.79
194	11431002.37
195	11419915.8
196	11413072.04
197	11410210.3
198	11405411.71
199	11392185.88
200	11381966.55
201	11378405.84
202	11376056.5
203	11374691.23
204	11363746.3
205	11354848.07
206	11354132.82
207	11349465.84
208	11340807.85
209	11331971.04
210	11325719.8
211	11319939.67
212	11312494.43
213	11308724.03
214	11302419.67
215	11294685.64
216	11289153.48
217	11276474.91
218	11273261.49
219	11264770.05
220	11252466.03
221	11231512.82
222	11223760.32
223	11213492.9
224	11204706.77
225	11190831.45
226	11186591.21
227	11166830.92
228	11157160.89
229	11130962.61
230	11125320.78
231	11115596.19
232	11107208.4
233	11106563.63
234	11098602.78
235	11093394.69
236	11087635.81
237	11083458.83
238	11067666.47
239	11058015.96
240	11053536.79
241	11045133.17
242	11038824.34
243	11027585.43
244	11019528.18
245	11015362.41
246	11012715.85
247	11001792.74
248	10994870.92
249	10989495.92
250	10979610.5
251	10970836.06
252	10964833.34
253	10963425.86
254	10962152.06
255	10954731.33
256	10946348.92
257	10945800.81
258	10942243
259	10936673.21
260	10921734.06
261	10916701.98
262	10912263.11
263	10908203.33
264	10899764.63
265	10896293.83
266	10892199.98
267	10891186.64
268	10886048.96
269	10865448.13
270	10861410.21
271	10858781.85
272	10853996.71
273	10852999.28
274	10852290.71
275	10850523.3
276	10848486.45
277	10844157.51
278	10838645.54
279	10837156.48
280	10832040.09
281	10831536.91
282	10827666.85
283	10809606.58
284	10807754.11
285	10793534.2
286	10791509.12
287	10787063.77
288	10780264.11
289	10772467.63
290	10770042.92
291	10765699.05
292	10765130.19
293	10761437.18
294	10755454.26
295	10753267.99
296	10751193.25
297	10746978.42
298	10745115.5
299	10734876.4
300	10731610.15
301	10731610.12
302	10727838.07
303	10727837.94
304	10721875.06
305	10713287.49
306	10703635.3
307	10692531.26
308	10674555.7
309	10672628.51
310	10660861.27
311	10656621.8
312	10655750.01
313	10652129.6
314	10650021.3
315	10645551.11
316	10642610.56
317	10637559.29
318	10620929.11
319	10615919.47
320	10611971.43
321	10609592.78
322	10597742.22
323	10583118.84
324	10574640.87
325	10569337.67
326	10560970.68
327	10555886.3
328	10549979.48
329	10547318.81
330	10533837.79
331	10528047.49
332	10522507.51
333	10520139.29
334	10508284.45
335	10502530.71
336	10501229.46
337	10500196.19
338	10497338.75
339	10492402.35
340	10483639.81
341	10482679.47
342	10479067.63
343	10477476.18
344	10475801.17
345	10472789.77
346	10470455.45
347	10468082.94
348	10461237.97
349	10458810.01
350	10458053.22
351	10457564.55
352	10451306.01
353	10448788.6
354	10448072.08
355	10441915.91
356	10439064.83
357	10430649.52
358	10428103.68
359	10422357.89
360	10417306
361	10415685.38
362	10413236.42
363	10411096.45
364	10407929.36
365	10405442.74
366	10391585.82
367	10378319.59
368	10377277.68
369	10376449.23
370	10370283.01
371	10364597.09
372	10358933.96
373	10353690.73
374	10344524.82
375	10342232.87
376	10339560.7
377	10337911.66
378	10336294.08
379	10331774.61
380	10331032.19
381	10325671.17
382	10320780.34
383	10319130.55
384	10314292.85
385	10308362.43
386	10300743.23
387	10296807.01
388	10291848.36
389	10290215.8
390	10283055.13
391	10282796.57
392	10276463.95
393	10270283.13
394	10265197.72
395	10257718.73
396	10246554.31
397	10241683.16
398	10239023.24
399	10233343.83
400	10230271.83
401	10220422.25
402	10212267.79
403	10209304.71
404	10208422.7
405	10202543.42
406	10201461.03
407	10199515.98
408	10195019.46
409	10194628.42
410	10192473.23
411	10189632.57
412	10181068.9
413	10176245.89
414	10162788.81
415	10159362.19
416	10155206.13
417	10149803.05
418	10141589.38
419	10137409.84
420	10127123.39
421	10117705.98
422	10116442.11
423	10114384.61
424	10108118.98
425	10103140.86
426	10100854.07
427	10099925.71
428	10098752.62
429	10097925.73
430	10097002.21
431	10090871.63
432	10081706.58
433	10080920.73
434	10079969.48
435	10078582.16
436	10075825.03
437	10071308.94
438	10069293.28
439	10067989.62
440	10063234.19
441	10062486.49
442	10061835.75
443	10061087.99
444	10056338.75
445	10053859.57
446	10046244.27
447	10045171.03
448	10044316.68
449	10039688.71
450	10038341.87
451	10036894.95
452	10026820.35
453	10023627.18
454	10022451.21
455	10016856.83
456	10011312.76
457	10006729.24
458	9999951.481
459	9998470.823
460	9995038.52
461	9989291.656
462	9984699.206
463	9982908.755
464	9979208.077
465	9973467.535
466	9966976.923
467	9961266.004
468	9953315.295
469	9949357.439
470	9947219.304
471	9944187.023
472	9936946.921
473	9933669.674
474	9932218.358
475	9931091.77
476	9926942.99
477	9923271.453
478	9919277.571
479	9915304.387
480	9913057.936
481	9908241.851
482	9906137.325
483	9904155.079
484	9899114.01
485	9893762.84
486	9880242.453
487	9878523.873
488	9878221.253
489	9875174.991
490	9873387.492
491	9870665.007
492	9869211.291
493	9863818.522
494	9856554.676
495	9854932.215
496	9853853.255
497	9841163.937
498	9838776.703
499	9834755.644
500	9830427.436
501	9828199.266
502	9822410.634
503	9821461.29
504	9813952.994
505	9803763.878
506	9798319.713
507	9795794.027
508	9792142.866
509	9784405.359
510	9779200.899
511	9776518.02
512	9775376.37
513	9772953.467
514	9770104.232
515	9765352.255
516	9758843.651
517	9754569.264
518	9744396.752
519	9743521.627
520	9741202.791
521	9738623.31
522	9736285.099
523	9735538.511
524	9730071.121
525	9727343.397
526	9724683.496
527	9718896.81
528	9717041.305
529	9709414.097
530	9707288.236
531	9705499.292
532	9701532.916
533	9698263.453
534	9697579.228
535	9692196.753
536	9685409.82
537	9677521.486
538	9665313.461
539	9660069.053
540	9658031.763
541	9656084.415
542	9653744.158
543	9650199.02
544	9643913.823
545	9636776.519
546	9635852.655
547	9633559.659
548	9631090.567
549	9629864.106
550	9627895.43
551	9625735.853
552	9620521.214
553	9619220.566
554	9612463.595
555	9609780.432
556	9603186.547
557	9596970.304
558	9585126.904
559	9583953.45
560	9579776.214
561	9573995.489
562	9572282.238
563	9568572.767
564	9567252.048
565	9564767.899
566	9554160.919
567	9551788.394
568	9546442.147
569	9544174.297
570	9534919.532
571	9533069.591
572	9527471.681
573	9522881.929
574	9521465.987
575	9511941.104
576	9506447.363
577	9505934.178
578	9494370.35
579	9485177.471
580	9479949.252
581	9478307.037
582	9474919.986
583	9474314.442
584	9466519.983
585	9458915.37
586	9457601.601
587	9457230.433
588	9452299.281
589	9449581.91
590	9443766.638
591	9442995.94
592	9439206.125
593	9436242.242
594	9435881.978
595	9430524.106
596	9421349.864
597	9420922.644
598	9415475.758
599	9411964.089
600	9410651.553
601	9409950.645
602	9404954.926
603	9397613.653
604	9395779.053
605	9393345.85
606	9392670.306
607	9390466.225
608	9386067.532
609	9385715.152
610	9378262.195
611	9373908.259
612	9368897.304
613	9365926.75
614	9364182.451
615	9359575.963
616	9358661.058
617	9354999.177
618	9353521.123
619	9350247.541
620	9346288.776
621	9344853.779
622	9338593.644
623	9337923.734
624	9335538.725
625	9331594.377
626	9329866.373
627	9327462.998
628	9326049.679
629	9322652.646
630	9320427.808
631	9319022.157
632	9317837.264
633	9315172.997
634	9305278.979
635	9297559.558
636	9295782.396
637	9293859.096
638	9288649.144
639	9285959.61
640	9284483.931
641	9283287.871
642	9281406.542
643	9277190.771
644	9274288.155
645	9271437.749
646	9270000.949
647	9268918.038
648	9263187.495
649	9261623.726
650	9260392.412
651	9260071.244
652	9259304.412
653	9258492.523
654	9257522.207
655	9256989.463
656	9254454.449
657	9245180.455
658	9239908.901
659	9237881.147
660	9233952.319
661	9229521.695
662	9227111.374
663	9224016.093
664	9222697.256
665	9215231.462
666	9210792.084
667	9206637.25
668	9203474.911
669	9196610.466
670	9196155.539
671	9195537.618
672	9193338.909
673	9190957.785
674	9188936.174
675	9187057.428
676	9183595.64
677	9178748.998
678	9176577.682
679	9173492.335
680	9170903.578
681	9169630.703
682	9168168.186
683	9162794.302
684	9160606.287
685	9156146.669
686	9154586.545
687	9149728.723
688	9148788.809
689	9147740.228
690	9145185.43
691	9143692.108
692	9141373.707
693	9137960.949
694	9136134.643
695	9134814.155
696	9130655.939
697	9123610.697
698	9122439.779
699	9120928.663
700	9115380.877
701	9113950.203
702	9111571.182
703	9110684.861
704	9107175.78
705	9106377.371
706	9104575.792
707	9101495.663
708	9100469.443
709	9098156.33
710	9093677.177
711	9092723.305
712	9092031.632
713	9086306.987
714	9079296.28
715	9077957.162
716	9072787.471
717	9072519.804
718	9069408.699
719	9067726.421
720	9065385.263
721	9063989.039
722	9063013.417
723	9054272.576
724	9050335.725
725	9047457.487
726	9039716.082
727	9037135.467
728	9034862.471
729	9030604.73
730	9022200.194
731	9018342.91
732	9009939.299
733	9006994.886
734	9001031.393
735	8997735.677
736	8992190.583
737	8990845.588
738	8986426.877
739	8982748.68
740	8979575.654
741	8979369.368
742	8972596.003
743	8971116.502
744	8968248.566
745	8963269.508
746	8960583.538
747	8960387.606
748	8960198.572
749	8957558.696
750	8953822.621
751	8953077.292
752	8951048.538
753	8947396.934
754	8946624.6
755	8943055.774
756	8937462.43
757	8931919.893
758	8928709.608
759	8926141.549
760	8923711.993
761	8919489.977
762	8915391.535
763	8914674.393
764	8913505.924
765	8911395.167
766	8909330.589
767	8902971.494
768	8901755.795
769	8900905.025
770	8897500.306
771	8894750.025
772	8893937.396
773	8893088.038
774	8892475.75
775	8887762.569
776	8887347.614
777	8883979.446
778	8882674.405
779	8882299.142
780	8881265.867
781	8878823.212
782	8876520.312
783	8871917.983
784	8871063.109
785	8868981.965
786	8867825.073
787	8867267.525
788	8866422.684
789	8864701.522
790	8860533.818
791	8860087.068
792	8859473.768
793	8858101.601
794	8855570.767
795	8855472.511
796	8855046.997
797	8851956.356
798	8850446.388
799	8846981.214
800	8844831.457
801	8840030.321
802	8839456.177
803	8839048.63
804	8838220.176
805	8837915.246
806	8834999.415
807	8832234.775
808	8831848.295
809	8831476.625
810	8825322.844
811	8823949.993
812	8817466.405
813	8814598.968
814	8811036.538
815	8806021.985
816	8802921.598
817	8798057.428
818	8793034.614
819	8790951.95
820	8790274.713
821	8787037.035
822	8781227.372
823	8779695.77
824	8779407.143
825	8776194.71
826	8772866.512
827	8772524.758
828	8771106.106
829	8766935.678
830	8764017.845
831	8762873.172
832	8760817.358
833	8757477.45
834	8753730.724
835	8753394.462
836	8751462.223
837	8750037.574
838	8748172.509
839	8745051.553
840	8742218.784
841	8739718.057
842	8737028.615
843	8733769.135
844	8732102.53
845	8728742.141
846	8722799.272
847	8720128.936
848	8717766.276
849	8715431.841
850	8714663.149
851	8711506.487
852	8709338.402
853	8708306.746
854	8705482.137
855	8702441.323
856	8698938.644
857	8695132.73
858	8692253.362
859	8690364.367
860	8686900.636
861	8685394.622
862	8683178.715
863	8678127.503
864	8676467.016
865	8674890.808
866	8670230.593
867	8666727.474
868	8663607.273
869	8661395.904
870	8660064.287
871	8658506.658
872	8658249.563
873	8657926.224
874	8657520.902
875	8656157.937
876	8654007.803
877	8650039.833
878	8649283.096
879	8646971.215
880	8645282.69
881	8639408.593
882	8638127.161
883	8634656.197
884	8632911.964
885	8632158.1
886	8631307.93
887	8631104.375
888	8628541.629
889	8628403.323
890	8622381.283
891	8619257.565
892	8618045.421
893	8613215.185
894	8611838.021
895	8611142.01
896	8608347.575
897	8606447.245
898	8603851.114
899	8603319.869
900	8599612.299
901	8597933.477
902	8595919.155
903	8594142.223
904	8591703.668
905	8588409.858
906	8586543.05
907	8582595.83
908	8577337.921
909	8576119.8
910	8572416.692
911	8568993.084
912	8566000.602
913	8565403.176
914	8565053.89
915	8564302.26
916	8559183.534
917	8555153.71
918	8553697.029
919	8551113.718
920	8549307.208
921	8546649.222
922	8545331.117
923	8543678.299
924	8537942.253
925	8534799.533
926	8533007.59
927	8531904.697
928	8531341.796
929	8529488.197
930	8525592.067
931	8523831.673
932	8523192.485
933	8522761.335
934	8517519.713
935	8515579.11
936	8515339.938
937	8509860.87
938	8506600.844
939	8505574.306
940	8505339.302
941	8505103.979
942	8500755.884
943	8499174.078
944	8496775.918
945	8495160.783
946	8495038.818
947	8491676.805
948	8490270.534
949	8489051.985
950	8485057.725
951	8481072.732
952	8480426.659
953	8477181.87
954	8475185.507
955	8473857.295
956	8468600.524
957	8465501.877
958	8463554.823
959	8461693.16
960	8460016.08
961	8459044.898
962	8456215.194
963	8453174.282
964	8452551.661
965	8452309.879
966	8451005.967
967	8448975.928
968	8446189.146
969	8444803.971
970	8444409.519
971	8443817.848
972	8440860.731
973	8439179.936
974	8437561.767
975	8432884.325
976	8430894.613
977	8429584.768
978	8429124.942
979	8426033.723
980	8425608.221
981	8424050.693
982	8420996
983	8419322.431
984	8417342.793
985	8415411.921
986	8415072.078
987	8412238.716
988	8408464.968
989	8403526.213
990	8401339.558
991	8399202.543
992	8397278.622
993	8394221.574
994	8392317.116
995	8390006.022
996	8387208.363
997	8385364.887
998	8383934.225
999	8381360.371
